Subject Name:	S105	
Subject Birth Date:	15/08/2013	
Test Date:	28/02/2015	
Observer:		
Condition:	V-Switch	
Cell Number:		
Comments		
Phase	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Test	Test	Test	
Trial	1	2	3	4	5	6	7	8	9	10	Total	1	2	Total	
Stim. Name	spin-une-doripe-N	cart-elle-bamoule-V	cart-elle-bamoule-V	spin-une-doripe-N	spin-une-doripe-N	cart-elle-bamoule-V	cart-elle-bamoule-V	spin-une-doripe-N	spin-une-doripe-N	cart-elle-bamoule-V		spin-elle-bamoule-V	spin-elle-bamoule-V		
Center Mon. File	peng_spin_nv.mov	peng_cart_nv.mov	peng_cart_nv.mov	peng_spin_nv.mov	peng_spin_nv.mov	peng_cart_nv.mov	peng_cart_nv.mov	peng_spin_nv.mov	peng_spin_nv.mov	peng_cart_nv.mov		peng_spin_nv.mov	peng_spin_nv.mov		
Sound File	une_doripe.wav	elle_bamoule.wav	elle_bamoule.wav	une_doripe.wav	une_doripe.wav	elle_bamoule.wav	elle_bamoule.wav	une_doripe.wav	une_doripe.wav	elle_bamoule.wav		elle_bamoule.wav	elle_bamoule.wav		
Trial Duration	37.1	37.1	37.1	37.1	0.1	37.1	37.2	37.1	0.1	0.1	260.1	0.1	37.1	37.1	
AG On Time	41.4	1.3	1.1	1.1	1.5	1.8	1.2	1.4	1.8	1.7	54.3	2.9	3.5	6.4	
AG Latency	0.5	0.4	0.2	0.4	0.5	0.3	0.5	0.6	1.3	0.6	5.3	0.8	0.3	1.0	
Left Look Time	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Center Look Time	36.5	36.6	36.8	36.7	26.1	36.8	36.6	36.4	6.9	4.8	294.3	12.7	36.7	49.4	
Right Look Time	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Total Look Time	36.5	36.6	36.8	36.7	26.1	36.8	36.6	36.4	6.9	4.8	294.3	12.7	36.7	49.4	
Left Looks	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Center Looks	1	1	1	1	1	1	1	1	1	1	10	1	1	2	
Right Looks	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Total Looks	1	1	1	1	1	1	1	1	1	1	10	1	1	2	
