Subject Name:	S117	
Subject Birth Date:	14/09/2013	
Test Date:	11/03/2015	
Observer:		
Condition:	N-Switch	
Cell Number:		
Comments		
Phase	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Test	Test	Test	
Trial	1	2	3	4	5	6	7	8	Total	1	2	Total	
Stim. Name	cart-une-doripe-N	spin-elle-bamoule-V	cart-une-doripe-N	spin-elle-bamoule-V	spin-elle-bamoule-V	cart-une-doripe-N	spin-elle-bamoule-V	cart-une-doripe-N		spin-une-doripe-N	spin-une-doripe-N		
Center Mon. File	peng_cart_nv.mov	peng_spin_nv.mov	peng_cart_nv.mov	peng_spin_nv.mov	peng_spin_nv.mov	peng_cart_nv.mov	peng_spin_nv.mov	peng_cart_nv.mov		peng_spin_nv.mov	peng_spin_nv.mov		
Sound File	une_doripe.wav	elle_bamoule.wav	une_doripe.wav	elle_bamoule.wav	elle_bamoule.wav	une_doripe.wav	elle_bamoule.wav	une_doripe.wav		une_doripe.wav	une_doripe.wav		
Trial Duration	37.1	0.1	0.1	0.1	37.1	37.1	0.1	0.1	111.7	37.2	0.1	37.2	
AG On Time	63.2	1.0	1.0	1.3	1.2	1.1	0.9	1.4	71.3	1.0	7.5	8.5	
AG Latency	0.3	0.4	0.3	0.6	0.6	0.4	0.4	0.5	3.5	0.3	0.6	0.9	
Left Look Time	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Center Look Time	36.7	25.8	3.9	30.5	36.5	36.6	11.1	14.1	195.3	36.8	5.0	41.8	
Right Look Time	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Total Look Time	36.7	25.8	3.9	30.5	36.5	36.6	11.1	14.1	195.3	36.8	5.0	41.8	
Left Looks	0	0	0	0	0	0	0	0	0	0	0	0	
Center Looks	1	1	1	1	1	1	1	1	8	1	1	2	
Right Looks	0	0	0	0	0	0	0	0	0	0	0	0	
Total Looks	1	1	1	1	1	1	1	1	8	1	1	2	
