Subject Name:	S126	
Subject Birth Date:	01/09/2013	
Test Date:	14/03/2015	
Observer:		
Condition:	N-Switch	
Cell Number:		
Comments		
Phase	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Test	Test	Test	
Trial	1	2	3	4	5	6	7	8	9	Total	1	2	Total	
Stim. Name	cart-une-doripe-N	spin-elle-bamoule-V	spin-elle-bamoule-V	cart-une-doripe-N	spin-elle-bamoule-V	cart-une-doripe-N	spin-elle-bamoule-V	cart-une-doripe-N	spin-elle-bamoule-V		spin-une-doripe-N	spin-une-doripe-N		
Center Mon. File	peng_cart_nv.mov	peng_spin_nv.mov	peng_spin_nv.mov	peng_cart_nv.mov	peng_spin_nv.mov	peng_cart_nv.mov	peng_spin_nv.mov	peng_cart_nv.mov	peng_spin_nv.mov		peng_spin_nv.mov	peng_spin_nv.mov		
Sound File	une_doripe.wav	elle_bamoule.wav	elle_bamoule.wav	une_doripe.wav	elle_bamoule.wav	une_doripe.wav	elle_bamoule.wav	une_doripe.wav	elle_bamoule.wav		une_doripe.wav	une_doripe.wav		
Trial Duration	37.1	37.1	37.2	37.1	0.1	0.1	37.1	0.1	0.1	185.9	0.1	0.1	0.1	
AG On Time	33.6	1.1	1.2	1.1	1.4	1.3	1.5	1.3	1.7	44.3	1.6	1.1	2.8	
AG Latency	0.6	0.5	0.7	0.7	0.6	0.4	0.4	0.4	0.2	4.6	0.6	0.5	1.0	
Left Look Time	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Center Look Time	36.5	36.5	36.4	36.4	26.9	32.4	36.7	17.5	6.9	266.2	17.2	11.1	28.4	
Right Look Time	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Total Look Time	36.5	36.5	36.4	36.4	26.9	32.4	36.7	17.5	6.9	266.2	17.2	11.1	28.4	
Left Looks	0	0	0	0	0	0	0	0	0	0	0	0	0	
Center Looks	1	1	1	1	1	1	1	1	1	9	1	1	2	
Right Looks	0	0	0	0	0	0	0	0	0	0	0	0	0	
Total Looks	1	1	1	1	1	1	1	1	1	9	1	1	2	
