Subject Name:	S38
Subject Birth Date:	24/10/2013	
Test Date:	25/04/2015	
Observer:		
Condition:	N-Switch	
Cell Number:		
Comments		
Phase	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Habituation	Test	Test	Test	
Trial	1	2	3	4	5	6	7	8	9	10	11	Total	1	2	Total	
Stim. Name	H3-cart-bamoule-nom	H4-spin-doripe-verbe	H3-cart-bamoule-nom	H4-spin-doripe-verbe	H4-spin-doripe-verbe	H3-cart-bamoule-nom	H3-cart-bamoule-nom	H4-spin-doripe-verbe	H4-spin-doripe-verbe	H3-cart-bamoule-nom	H4-spin-doripe-verbe		T5-spin-bamoule-nom	T5-spin-bamoule-nom		
Center Mon. File	penguin_cart_pros.mov	penguin_spin_pros.mov	penguin_cart_pros.mov	penguin_spin_pros.mov	penguin_spin_pros.mov	penguin_cart_pros.mov	penguin_cart_pros.mov	penguin_spin_pros.mov	penguin_spin_pros.mov	penguin_cart_pros.mov	penguin_spin_pros.mov		penguin_spin_pros.mov	penguin_spin_pros.mov		
Sound File	bamoule_nom.wav	doripe_verbe.wav	bamoule_nom.wav	doripe_verbe.wav	doripe_verbe.wav	bamoule_nom.wav	bamoule_nom.wav	doripe_verbe.wav	doripe_verbe.wav	bamoule_nom.wav	doripe_verbe.wav		bamoule_nom.wav	bamoule_nom.wav		
Trial Duration	50.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	50.8	0.1	0.1	0.2	
AG On Time	36.0	1.4	1.0	2.0	2.3	3.2	1.2	2.0	2.5	1.3	1.2	54.2	2.0	1.0	3.0	
AG Latency	0.5	0.3	0.2	0.4	0.8	0.6	0.5	0.4	0.6	0.5	0.3	5.0	0.3	0.5	0.8	
Left Look Time	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Center Look Time	49.6	13.9	26.2	29.7	31.5	33.8	31.6	40.8	4.8	31.6	11.4	304.8	15.9	26.9	42.8	
Right Look Time	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Total Look Time	49.6	13.9	26.2	29.7	31.5	33.8	31.6	40.8	4.8	31.6	11.4	304.8	15.9	26.9	42.8	
Left Looks	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Center Looks	1	1	1	1	1	1	1	1	1	1	1	11	1	1	2	
Right Looks	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Total Looks	1	1	1	1	1	1	1	1	1	1	1	11	1	1	2	
